,post_id,date,count
2696,754,2021-09-12,1
2697,754,2021-09-26,1
2698,754,2021-10-03,4
2699,754,2021-10-10,3
2700,754,2021-10-17,3
2701,754,2021-10-24,1
2702,754,2021-10-31,1
2703,754,2021-11-14,1
2704,754,2021-12-05,1
2705,754,2021-12-12,1
2706,754,2021-12-26,4
2707,754,2022-01-02,3
2708,754,2022-01-09,3
2709,754,2022-01-16,5
2710,754,2022-01-23,4
2711,754,2022-01-30,4
2712,754,2022-02-06,3
2713,754,2022-02-13,2
2714,754,2022-02-20,3
2715,754,2022-02-27,3
2716,754,2022-03-06,7
2717,754,2022-03-13,3
2718,754,2022-03-20,7
2719,754,2022-03-27,4
2720,754,2022-04-03,9
2721,754,2022-04-17,2
2722,754,2022-04-24,1
2723,754,2022-05-08,7
2724,754,2022-05-15,1
2725,754,2022-05-22,2
2726,754,2022-05-29,3
2727,754,2022-06-05,1
2728,754,2022-06-12,2
2729,754,2022-06-19,2
2730,754,2022-06-26,4
2731,754,2022-07-03,2
2732,754,2022-07-10,6
2733,754,2022-07-17,3
2734,754,2022-07-24,4
2735,754,2022-07-31,2
2736,754,2022-08-07,3
2737,754,2022-08-14,7
2738,754,2022-08-21,4
2739,754,2022-08-28,1
2740,754,2022-09-04,2
2741,754,2022-09-18,4
2742,754,2022-09-25,3
2743,754,2022-10-16,3
2744,754,2022-10-23,1
2745,754,2022-10-30,2
2746,754,2022-11-06,4
2747,754,2022-11-13,2
2748,754,2022-12-04,2
2749,754,2022-12-11,1
2750,754,2022-12-18,6
2751,754,2022-12-25,1
2752,754,2023-01-01,2
2753,754,2023-01-08,2
2754,754,2023-01-15,4
2755,754,2023-01-22,2
2756,754,2023-01-29,3
2757,754,2023-02-05,4
2758,754,2023-02-12,1
2759,754,2023-02-19,1
2760,754,2023-03-05,2
2761,754,2023-03-12,1
2762,754,2023-03-19,4
2763,754,2023-04-09,2
2764,754,2023-04-16,2
2765,754,2023-04-30,1
2766,754,2023-05-07,3
2767,754,2023-05-14,1
2768,754,2023-05-21,2
2769,754,2023-05-28,3
2770,754,2023-06-04,3
2771,754,2023-06-18,1
2772,754,2023-06-25,1
2773,754,2023-07-09,1
2774,754,2023-07-16,1
2775,754,2023-07-30,1
2776,754,2023-08-06,1
2777,754,2023-08-20,3
2778,754,2023-09-03,1
2779,754,2023-09-10,2
2780,754,2023-09-17,2
2781,754,2023-10-15,1
2782,754,2023-11-05,3
2783,754,2023-12-17,2
2784,754,2023-12-24,1
2785,754,2023-12-31,2
2786,754,2024-01-21,1
2787,754,2024-02-04,1
2788,754,2024-02-11,1
2789,754,2024-02-18,1
2790,754,2024-02-25,4
2791,765,2020-11-01,2
2792,765,2020-12-13,2
2793,765,2020-12-27,7
2794,765,2021-01-10,1
2795,765,2021-01-24,2
2796,765,2021-01-31,5
2797,765,2021-02-07,4
2798,765,2021-02-14,4
2799,765,2021-02-21,1
2800,765,2021-02-28,1
2801,765,2021-03-14,5
2802,765,2021-03-21,7
2803,765,2021-03-28,2
2804,765,2021-04-04,1
2805,765,2021-04-11,4
2806,765,2021-04-18,5
2807,765,2021-04-25,7
2808,765,2021-05-02,5
2809,765,2021-05-09,4
2810,765,2021-05-16,5
2811,765,2021-05-23,2
2812,765,2021-05-30,6
2813,765,2021-06-06,3
2814,765,2021-06-13,3
2815,765,2021-06-20,2
2816,765,2021-06-27,3
2817,765,2021-07-04,5
2818,765,2021-07-11,5
2819,765,2021-07-18,1
2820,765,2021-07-25,1
2821,765,2021-08-01,3
2822,765,2021-08-08,1
2823,765,2021-08-15,2
2824,765,2021-08-22,2
2825,765,2021-09-05,3
2826,765,2021-09-12,4
2827,765,2021-09-19,1
2828,765,2021-10-03,20
2829,765,2021-10-10,3
2830,765,2021-10-17,3
2831,765,2021-10-24,2
2832,765,2021-10-31,2
2833,765,2021-11-07,4
2834,765,2021-11-14,15
2835,765,2021-11-21,9
2836,765,2021-11-28,1
2837,765,2021-12-05,8
2838,765,2021-12-12,5
2839,765,2021-12-19,3
2840,765,2021-12-26,5
2841,765,2022-01-02,8
2842,765,2022-01-09,15
2843,765,2022-01-16,13
2844,765,2022-01-23,12
2845,765,2022-01-30,2
2846,765,2022-02-06,4
2847,765,2022-02-13,10
2848,765,2022-02-20,4
2849,765,2022-02-27,8
2850,765,2022-03-06,1
2851,765,2022-03-13,10
2852,765,2022-03-20,1
2853,765,2022-03-27,3
2854,765,2022-04-03,9
2855,765,2022-04-10,8
2856,765,2022-04-17,4
2857,765,2022-04-24,3
2858,765,2022-05-01,6
2859,765,2022-05-08,2
2860,765,2022-05-15,13
2861,765,2022-05-22,3
2862,765,2022-05-29,2
2863,765,2022-06-05,4
2864,765,2022-06-12,2
2865,765,2022-06-19,2
2866,765,2022-06-26,1
2867,765,2022-07-03,1
2868,765,2022-07-10,8
2869,765,2022-07-17,6
2870,765,2022-07-24,3
2871,765,2022-07-31,3
2872,765,2022-08-14,1
2873,765,2022-08-21,4
2874,765,2022-08-28,2
2875,765,2022-09-04,1
2876,765,2022-09-11,3
2877,765,2022-09-18,2
2878,765,2022-09-25,4
2879,765,2022-10-02,10
2880,765,2022-10-09,2
2881,765,2022-10-16,2
2882,765,2022-10-23,4
2883,765,2022-10-30,7
2884,765,2022-11-06,2
2885,765,2022-11-13,1
2886,765,2022-11-20,1
2887,765,2022-11-27,4
2888,765,2022-12-04,6
2889,765,2022-12-11,2
2890,765,2022-12-18,3
2891,765,2022-12-25,4
2892,765,2023-01-01,5
2893,765,2023-01-08,5
2894,765,2023-01-15,11
2895,765,2023-01-22,5
2896,765,2023-01-29,5
2897,765,2023-02-05,5
2898,765,2023-02-12,10
2899,765,2023-02-19,10
2900,765,2023-02-26,15
2901,765,2023-03-05,13
2902,765,2023-03-12,9
2903,765,2023-03-19,8
2904,765,2023-03-26,1
2905,765,2023-04-02,9
2906,765,2023-04-09,9
2907,765,2023-04-16,3
2908,765,2023-04-23,9
2909,765,2023-04-30,7
2910,765,2023-05-14,15
2911,765,2023-05-21,12
2912,765,2023-05-28,13
2913,765,2023-06-04,23
2914,765,2023-06-11,7
2915,765,2023-06-18,14
2916,765,2023-06-25,17
2917,765,2023-07-02,14
2918,765,2023-07-09,14
2919,765,2023-07-16,16
2920,765,2023-07-23,8
2921,765,2023-07-30,19
2922,765,2023-08-06,20
2923,765,2023-08-13,17
2924,765,2023-08-20,8
2925,765,2023-08-27,17
2926,765,2023-09-03,12
2927,765,2023-09-10,16
2928,765,2023-09-17,12
2929,765,2023-09-24,6
2930,765,2023-10-01,7
2931,765,2023-10-08,17
2932,765,2023-10-15,14
2933,765,2023-10-22,15
2934,765,2023-10-29,6
2935,765,2023-11-05,8
2936,765,2023-11-12,13
2937,765,2023-11-19,9
2938,765,2023-11-26,9
2939,765,2023-12-03,7
2940,765,2023-12-10,16
2941,765,2023-12-17,10
2942,765,2023-12-24,16
2943,765,2023-12-31,11
2944,765,2024-01-07,4
2945,765,2024-01-14,8
2946,765,2024-01-21,7
2947,765,2024-01-28,4
2948,765,2024-02-04,8
2949,765,2024-02-11,14
2950,765,2024-02-18,7
2951,765,2024-02-25,8
2952,765,2024-03-03,4
2953,771,2020-11-01,1
2954,771,2020-12-06,1
2955,771,2021-01-24,2
2956,771,2021-01-31,1
2957,771,2021-02-14,1
2958,771,2021-05-02,1
2959,771,2021-06-27,1
2960,771,2021-07-18,1
2961,771,2021-08-29,3
2962,771,2021-09-05,2
2963,771,2021-09-12,4
2964,771,2021-09-19,4
2965,771,2021-09-26,1
2966,771,2021-10-03,3
2967,771,2021-10-10,3
2968,771,2021-10-17,9
2969,771,2021-10-24,5
2970,771,2021-10-31,4
2971,771,2021-11-07,6
2972,771,2021-11-14,8
2973,771,2021-11-21,2
2974,771,2021-11-28,5
2975,771,2021-12-05,9
2976,771,2021-12-12,5
2977,771,2021-12-19,1
2978,771,2021-12-26,4
2979,771,2022-01-02,1
2980,771,2022-01-09,4
2981,771,2022-01-16,4
2982,771,2022-01-23,2
2983,771,2022-01-30,1
2984,771,2022-02-06,1
2985,771,2022-02-13,2
2986,771,2022-02-20,3
2987,771,2022-02-27,1
2988,771,2022-03-06,2
2989,771,2022-03-20,4
2990,771,2022-03-27,3
2991,771,2022-04-03,1
2992,771,2022-04-17,2
2993,771,2022-04-24,2
2994,771,2022-05-01,1
2995,771,2022-05-08,4
2996,771,2022-05-15,3
2997,771,2022-05-22,3
2998,771,2022-05-29,2
2999,771,2022-06-05,1
3000,771,2022-06-12,2
3001,771,2022-06-19,1
3002,771,2022-06-26,9
3003,771,2022-07-10,1
3004,771,2022-07-24,1
3005,771,2022-08-07,1
3006,771,2022-08-21,1
3007,771,2022-08-28,1
3008,771,2022-09-04,6
3009,771,2022-09-11,3
3010,771,2022-09-18,3
3011,771,2022-09-25,3
3012,771,2022-10-02,1
3013,771,2022-10-09,5
3014,771,2022-10-16,1
3015,771,2022-10-23,3
3016,771,2022-10-30,4
3017,771,2022-11-06,3
3018,771,2022-11-13,2
3019,771,2022-11-20,2
3020,771,2022-11-27,3
3021,771,2022-12-04,8
3022,771,2022-12-11,2
3023,771,2022-12-18,3
3024,771,2022-12-25,4
3025,771,2023-01-01,4
3026,771,2023-01-08,3
3027,771,2023-01-15,4
3028,771,2023-01-22,3
3029,771,2023-01-29,4
3030,771,2023-02-05,5
3031,771,2023-02-12,3
3032,771,2023-02-19,5
3033,771,2023-02-26,4
3034,771,2023-03-05,6
3035,771,2023-03-12,7
3036,771,2023-03-19,5
3037,771,2023-03-26,3
3038,771,2023-04-02,6
3039,771,2023-04-09,9
3040,771,2023-04-16,9
3041,771,2023-04-23,11
3042,771,2023-04-30,6
3043,771,2023-05-07,6
3044,771,2023-05-14,6
3045,771,2023-05-21,12
3046,771,2023-05-28,11
3047,771,2023-06-04,14
3048,771,2023-06-11,13
3049,771,2023-06-18,5
3050,771,2023-06-25,9
3051,771,2023-07-02,8
3052,771,2023-07-09,7
3053,771,2023-07-16,5
3054,771,2023-07-23,5
3055,771,2023-08-06,4
3056,771,2023-08-13,4
3057,771,2023-08-20,3
3058,771,2023-09-03,2
3059,771,2023-09-10,4
3060,771,2023-09-17,2
3061,771,2023-09-24,2
3062,771,2023-10-01,4
3063,771,2023-10-08,6
3064,771,2023-10-15,3
3065,771,2023-10-22,3
3066,771,2023-10-29,4
3067,771,2023-11-05,2
3068,771,2023-11-12,10
3069,771,2023-11-19,7
3070,771,2023-11-26,3
3071,771,2023-12-03,7
3072,771,2023-12-10,6
3073,771,2023-12-17,4
3074,771,2023-12-24,9
3075,771,2023-12-31,3
3076,771,2024-01-07,4
3077,771,2024-01-14,2
3078,771,2024-01-21,11
3079,771,2024-01-28,5
3080,771,2024-02-04,13
3081,771,2024-02-11,9
3082,771,2024-02-18,1
3083,771,2024-02-25,2
3084,781,2020-11-01,1
3085,781,2020-12-13,1
3086,781,2021-01-03,1
3087,781,2021-02-07,1
3088,781,2021-02-14,1
3089,781,2021-02-28,2
3090,781,2021-03-07,1
3091,781,2021-03-28,1
3092,781,2021-04-18,2
3093,781,2021-04-25,2
3094,781,2021-05-02,1
3095,781,2021-05-16,1
3096,781,2021-05-23,2
3097,781,2021-05-30,1
3098,781,2021-06-13,1
3099,781,2021-06-20,1
3100,781,2021-06-27,5
3101,781,2021-07-04,1
3102,781,2021-07-18,3
